#
# Female Routing
#
LFSexytimesFemale1T;In The Bedroom;;;;;;;;;;;;;x
LFSexytimesFemale7MaleCow;I push [lf_sex_partner.GetFirstName] onto the bed and climb on top of him. Gliding up his body, my breasts rub against his chest, sending a ripple of pleasure up my spine. He looks up at me with those submissive eyes that I always love as his erect shaft prods and pokes at my wet slit. I am content to tease my pet just a little longer, letting his cock lubricate itself on my juices. Just as she expects me to sink down and let my folds engulf him, I pull back to sit upright, and give my pet a knowing smirk. Reaching back with one hand, I wrap my fingers around his cock and guide it to my pussy. My labia spreads spread easily from the already wet cock, and- with one swift downward thrust- penetrate myself onto my pet. The pain of being taken in the ass swiftly subsides, and only pleasure remains.\n  "Fuck me, pet," I command as my fingers move down from [lf_sex_partner.GetFirstName]'s shaft to his own sack, fondling and stroking the flesh. A groan slips from the lips of my little lover, and soon his hands reach up to grasp and grope my breasts while she bucks his hips. The sensation of being filled is good enough that I allow my pet to roam and explore my body, so long as he continues being a good boy.\n  After what feels like an eternity of roughly riding my little submissive pet, I can hear his breaths getting quicker, and it isn't too long before my own orgasm starts to hit. The fire within my womb explodes, washing my entire body with that pleasurable feeling I so craved. Feeling my pet's thrusts get harder and deeper, I say to him...;;;;;;;;;;;;;x
LFSexytimes7TTA;"You did well, pet.";;;;;;;;;;;;;x
LFSexytimes7TTB;"I'll allow you cum in me, pet.";;;;;;;;;;;;;x
LFSexytimes7TTC;"You are not worthy of cumming in me, pet.";;;;;;;;;;;;;x
#
# Female Dom, Chose to pull out or not
#
LFSexytimesFemale8Cum;I force my hips down onto [lf_sex_partner.GetFirstName]'s waist, trapping [lf_sex_partner.GetHerHis] cock deep within me. Even if [lf_sex_partner.GetSheHe] wanted to pull out, [lf_sex_partner.GetSheHe] is my little pet and I am [lf_sex_partner.GetHerHis] Mistress. A good pet obeys my every word.\n[lf_sex_partner.GetHerHisCap] cock starts to flood my insides with [lf_sex_partner.GetHerHis] precious seed. After all is said and done, I look down on my pet and give a little smirk.;;;;;;;;;;;;;x
LFSexytimesFemale8Painted;I pull my hips up from [lf_sex_partner.GetFirstName]'s waist, forcing [lf_sex_partner.GetHerHis] cock to pull out of my depths. Even if [lf_sex_partner.GetSheHe] wanted to cum inside of me, [lf_sex_partner.GetSheHe] is my little pet and I am [lf_sex_partner.GetHerHis] Mistress. A good pet obeys my every word.\n[lf_sex_partner.GetHerHisCap] cock starts to shoot [lf_sex_partner.GetHerHis] precious seed all over [lf_sex_partner.GetHerHis] chest and waist. After all is said and done, I look down on my pet and give a little smirk.;;;;;;;;;;;;;x
LFSexytimesFemale8TTA;"You did well, pet.";;;;;;;;;;;;;x
#
# Female Standard, Results
#
LFSexytimesFemale9FemOral1;We embrace and push aside the inconveniences of life as we seek to explore each other. We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n  [lf_sex_partner.GetFirstName] suddenly forces me onto the bed on my back and spreads my legs, a look of hunger appearing in her eyes. Her mouth clamps down on my tiny nub, causing me to gasp in pleasure as her teeth slowly and softly stimulates it. Not satisfied with just my clit, I can feel her tongue exploring the folds of my flower before thrusting itself inside. The feeling of her tongue curling up to touch my special place, combined with her own fingers digging into the flesh of my thighs, is just too much for me, and I howl out in orgasm, coating the woman's mouth in my juices.\n  [lf_sex_partner.GetFirstName] slows down the suckling as my body calms itself down, before taking her tongue out and lapping up the remaining evidence of our copulation.;;;;;;;;;;;;;x
LFSexytimesFemale9FemOral2;We embrace and push aside the inconveniences of life as we seek to explore each other. We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n I cannot control myself at the sight of her body, and with a forceful shove, I push [lf_sex_partner.GetFirstName] onto the bed on her back and spread her legs, licking my lips hungrily at the beautiful vision of her pussy. My mouth clamps down on her tiny nub, causing her to gasp in pleasure as my teeth slowly and softly stimulates it. Not satisfied with just her clit, I extend my tongue to explore the folds of [lf_sex_partner.GetFirstName]'s flower before thrusting itself inside. I can taste her nectar, and soon my fingers reach down to fondle my own pussy. The feeling of my tongue curling up to touch her special place, combined with my free hand digging into the flesh of her thighs, is just too much for [lf_sex_partner.GetFirstName], and she howls out in orgasm, coating my mouth in her juices.\n  I slow down the suckling to allow her body to calm itself down, before taking my tongue out and lapping up the remaining evidence of our copulation.;;;;;;;;;;;;;x
LFSexytimesFemale9FutaOral1;We embrace and push aside the inconveniences of life as we seek to explore each other. We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n  [lf_sex_partner.GetFirstName] suddenly forces me onto the bed on my back and spreads my legs, a look of hunger appearing in her eyes. Her mouth clamps down on my tiny nub, causing me to gasp in pleasure as her teeth slowly and softly stimulates it. Not satisfied with just my clit, I can feel her tongue exploring the folds of my flower before thrusting itself inside. The feeling of her tongue curling up to touch my special place, combined with her own fingers digging into the flesh of my thighs, is just too much for me, and I howl out in orgasm, coating the woman's mouth in my juices.\n  [lf_sex_partner.GetFirstName] slows down the suckling as my body calms itself down, before taking her tongue out and lapping up the remaining evidence of our copulation.;;;;;;;;;;;;;x
LFSexytimesFemale9FutaOral2;We embrace and push aside the inconveniences of life as we seek to explore each other. We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n  [lf_sex_partner.GetFirstName] grabs my arms and gently pushes me down to my knees, my head just inches away from her erect shaft.\n  Taking a moment to stare lustfully at the pillar before me, I finally take her cock in one hand and start licking the tip, tasting the pre-cum leaking out. My lover places her hands upon my head and gently eases herself into my mouth. As she starts to rhythmically thrust into my throat, I start to explore her feminine folds- underneath the cock- with my fingers. This elicits a moan from [lf_sex_partner.GetFirstName], indicating that I'm doing a good job, while my free hand moves down between my legs to gently rub my own flower.\n  The feeling of my tongue curling around her shaft with every thrust, combined with my fingers exploring deep within her pussy, is just too much for her, and my lover howls out in orgasm. Both of her hands grip my head hard as she pulls me away, shooting her seed onto my face and breasts. My own orgasm hits as I start licking and suckling my lover's shaft to clean it of every trace of our copulation.;;;;;;;;;;;;;x
LFSexytimesFemale9MaleOral;We embrace and push aside the inconveniences of life as we seek to explore each other. We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n  [lf_sex_partner.GetFirstName] grabs my arms and gently pushes me down to my knees, my head just inches away from his erect shaft.\n  Taking a moment to stare lustfully at the pillar before me, I finally take his cock in one hand and start licking the tip, tasting the pre-cum leaking out. My lover places his hands upon my head and gently eases himself into my mouth. As he starts to rhythmically thrust into my throat, I move my other hand up and down a leg of his, exploring every ripple of muscle before resting above on tight ass. This elicits a moan from [lf_sex_partner.GetFirstName], indicating that I'm doing a good job, while my free hand moves down between my legs to gently rub my own flower.\n  The feeling of my tongue curling around his shaft with every thrust, combined with my fingers digging into his ass, is just too much for him, and my lover howls out in orgasm. Both of his hands grip my head hard as she pulls me away, shooting his seed onto my face and breasts. My own orgasm hits as I start licking and suckling my lover's shaft to clean it of every trace of our copulation.;;;;;;;;;;;;;x
LFSexytimesFemale9FutaAnal;[lf_sex_partner.GetFirstName] gives my neck a little kiss and gently pushes me down onto the bed. I roll over onto my stomach and push my rear into the air with my legs spread, giving my lover a clear view of my feminine charms. From this position, I cant see what she is doing, but I can certainly feel her. [lf_sex_partner.GetFirstName]'s shaft rubs lovingly against my wet slit, teasing and taunting my body with tingles of pleasure. After a few minutes of this I could no longer feel her cock rubbing against my flower. A moment later, I feel pressure against my other hole, and- with one slow thrust- her cock penetrates the depths of my bowels. I bite down on a nearby pillow to get my mind off of the initial pain... which isn't so great since my lover was already lubricated with my juices. Eventually the pain subsides enough that the sensation starts to turn pleasurable.\n  [lf_sex_partner.GetFirstName] runs a hand up and down my back while she pumps her shaft in and out of my taint. Her other hand softly caresses the skin of my lower body, alternating between the cheeks of my ass and the muscles of my legs. After what feels like eternity of lovemaking, [lf_sex_partner.GetFirstName] speeds up her thrusts, and I can feel the swelling of her shaft. Her orgasm rips through my body, causing my own explosion. When all is said and done, my lover lays down on top of me, still buried to the hilt. As she gently strokes my hair, I can feel the glistening sweat on her body melting with my own.;;;;;;;;;;;;;x
LFSexytimesFemale9MaleAnal;[lf_sex_partner.GetFirstName] gives my neck a little kiss and gently pushes me down onto the bed. I roll over onto my stomach and push my rear into the air with my legs spread, giving my lover a clear view of my feminine charms. From this position, I cant see what he is doing, but I can certainly feel him. [lf_sex_partner.GetFirstName]'s shaft rubs lovingly against my wet slit, teasing and taunting my body with tingles of pleasure. After a few minutes of this I could no longer feel his cock rubbing against my flower. A moment later, I feel pressure against my other hole, and- with one slow thrust- his cock penetrates the depths of my bowels. I bite down on a nearby pillow to get my mind off of the initial pain... which isn't so great since my lover was already lubricated with my juices. Eventually the pain subsides enough that the sensation starts to turn pleasurable.\n  [lf_sex_partner.GetFirstName] runs a hand up and down my back while he pumps his shaft in and out of my taint. His other hand softly caresses the skin of my lower body, alternating between the cheeks of my ass and the muscles of my legs. After what feels like eternity of lovemaking, [lf_sex_partner.GetFirstName] speeds up his thrusts, and I can feel the swelling of his shaft. His orgasm rips through my body, causing my own explosion. When all is said and done, my lover lays down on top of me, still buried to the hilt. As he gently strokes my hair, I can feel the glistening sweat on his body melting with my own.;;;;;;;;;;;;;x
LFSexytimesFemale9FutaMiss;We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n  You lay down on the bed facing up, and spread your legs, inviting her to take you. Grabbing [lf_sex_partner.GetFirstName]'s cock, you line it up to your tight cunt, before eagerly thrusting your hips back and letting out a desperate moan as you penetrate yourself on her hard shaft. With a deep groan, [lf_sex_partner.GetFirstName] thrusts her cock forwards, sinking it deep into your tight twat as she starts fucking you. Slowly gyrating your hips, a soft squeal drifts out from between your delicate lips as your movements force [lf_sex_partner.GetFirstName]'s throbbing cock deep enough to hit your cervix. Groaning in delight, she starts to thrust as hard as she can.\n  It's not long before a desperate, shuddering heat suddenly crashes up from your wet slit, and you let out a manic squeal as a blinding wave of pure ecstasy washes over you. [lf_sex_partner.GetFirstName] carries on fucking your wet slit through your orgasm, and you let out a series of high-pitched moans as your vaginal muscles grip and squeeze around her hard shaft. With a deeply-satisfied sigh, your feminine climax starts to fade, and you take a few deep gasps of air as you seek to catch your breath. Your lover lets out a desperate grunt as she reaches her own climax. [lf_sex_partner.GetFirstName] lets out a desperate groan as it starts to twitch inside of you.;;;;;;;;;;;;;x
LFSexytimesFemale9MaleMiss;We embrace and push aside the inconveniences of life as we seek to explore each other. We each focus on the spots that bring each other pleasure, as though it's a challenge to see who can build the other's lust the fastest. Loving tenderness gives way to more basic instincts as we give it our all.\n  You lay down on the bed facing up, and spread your legs, inviting him to take you. Grabbing [lf_sex_partner.GetFirstName]'s cock, you line it up to your tight cunt, before eagerly thrusting your hips back and letting out a desperate moan as you penetrate yourself on his hard shaft. With a deep groan, [lf_sex_partner.GetFirstName] thrusts his cock forwards, sinking it deep into your tight twat as he starts fucking you. Slowly gyrating your hips, a soft squeal drifts out from between your delicate lips as your movements force [lf_sex_partner.GetFirstName]'s throbbing cock deep enough to hit your cervix. Groaning in delight, he starts to thrust as hard as he can.\n  It's not long before a desperate, shuddering heat suddenly crashes up from your wet slit, and you let out a manic squeal as a blinding wave of pure ecstasy washes over you. [lf_sex_partner.GetFirstName] carries on fucking your wet slit through your orgasm, and you let out a series of high-pitched moans as your vaginal muscles grip and squeeze around his hard shaft. With a deeply-satisfied sigh, your feminine climax starts to fade, and you take a few deep gasps of air as you seek to catch your breath. Your lover lets out a desperate grunt as he reaches his own climax. [lf_sex_partner.GetFirstName] lets out a desperate groan as it starts to twitch inside of you.;;;;;;;;;;;;;x
#
# Hedonist Doggy Style written by Jim Raynor on LL
LFSexytimesFemale9FutaDogJimHedonist;I lie in front of my beloved, eyeing her cock which slowly stands to attention. With a purr of satisfaction I nudge the eager tip of [lf_sex_partner.GetFirstName]’s meaty shaft, leading it to my eager snatch. I am surprised when she slaps my hand away. Before my eyes turn scornful, there is another slap, this time upon my sensitive region. I squeal in equal amounts of pain and pleasure as [lf_sex_partner.GetFirstName] flips me over, her grip rough and passionate.\n  “Open up, your highness,” she murmurs from behind my ear, pressing her lustful nipples in my back. “Like the bitch in heat that you are!”\n I am barely on my knees when I feel a familiar pressure at my slit, now so wet that my juices ooze over my thighs. [lf_sex_partner.GetFirstName] laughs, her voice shrill and seductive, as she penetrates my sorry pussy mercilessly, pinning me in place by my hair. Heaves of pain turn into sighs of pleasure in moments as I match my hips with hers with increasing rapidity. Her mock savagery melts away into loving embrace as she rides me from behind. Her ample bosom swings freely in tandem with mine, at which she prods and pinches only to heighten the pleasure and drive me crazy. Incoherent moans erupt from my mouth which seem to drive my lover madder with passion. She tries in vain to stop herself from moaning, but when my fingers reach her far wetter slit under her magnificent shaft, she can’t help but shriek in delight. She reaches deeper in me than ever, plunging me into a sea of pleasure.;;;;;;;;;;;;;x
LFSexytimesFemale9MaleDogJimHedonist;I lie in front of my beloved, eyeing his cock which slowly stands to attention. With a purr of satisfaction I nudge the eager tip of [lf_sex_partner.GetFirstName]’s meaty shaft, leading it to my eager snatch. I am surprised when he slaps my hand away. Before my eyes turn scornful, there is another slap, this time upon my sensitive region. I squeal in equal amounts of pain and pleasure as [lf_sex_partner.GetFirstName] flips me over, his grip rough and passionate.\n  “Open up, your highness,” he murmurs from behind my ear, pressing his lustful meatpole in my ass. “Like the bitch in heat that you are!”\n  I am barely on my knees when I feel a familiar pressure at my slit, now so wet that my juices ooze over my thighs. [lf_sex_partner.GetFirstName] laughs, his voice loud and vulgar, as he penetrates my sorry pussy mercilessly, pinning me in place by my hair. Heaves of pain turn into sighs of pleasure in moments as I match my hips with his with increasing rapidity. His mock savagery melts away into loving embrace as he rides me from behind. His muscular arms hold in an embrace around my breasts, at which he prods and pinches only to heighten the pleasure and drive me crazy. Incoherent moans erupt from my mouth which seem to drive my lover madder with passion. He tries in vain to stop himself from moaning, but when my fingers reach his heavy balls swinging under his magnificent shaft, he can’t help but grunt in delight. He reaches deeper in me than ever, plunging me into a sea of pleasure.;;;;;;;;;;;;;x
#
# Doggy Style written by R0nin78 on LL
LFSexytimesFemale9MaleDogR0nin;Having shed our clothing and made our way to the bed, [lf_sex_partner.GetFirstName] kisses me, our tongues dancing passionately together as our mutual excitement builds. I can feel his erection, hot and hard as it presses against my stomach. Just when I think he's about to enter me, his hands move to my hips and flip me over onto all fours. I glance at him over my shoulder and in a sultry tone, I tell him I need him inside me.  [lf_sex_partner.GetFirstName] enters me with a single, mighty thrust, a growl of pleasure passing his lips as he hilts himself inside me. “Mmm... Now that's what I was waiting for.” I tease him, rolling my hips in time with his thrusts.\n  It isn't long before we both give in to our desire, his hips smacking lewdly against the backs of my thighs as he takes me hard and fast. He leans over me, groping a breast and kneading the sensitive nipple between thumb and forefinger. I can feel his breath, hot upon my neck as he drives his cock into me again and again. I know he's getting close, and so am I. His fingers dig into my hips, forcing me back to meet his thrusts until my cries of pleasure threaten to wake everyone in the castle. He can't help but moan as my inner walls relentlessly massage his entire, rigid length and although he's mere moments away from climax, he seems determined to see that I reach mine before he does.;;;;;;;;;;;;;x
#
# Cowgirl written by Jim Raynor on LL
LFSexytimesFemale9FutaCowJim;Through the whole day today, [lf_sex_partner.GetFirstName] had been giving me lustful looks. She knows I love it, and she has kept touching me at opportune moments which would be utterly scandalous if exposed. A quick grab of my breast here, a quiet pinch on my plump ass there. She even pressed her engorged cock between my ass in the throne room!\n  Finally, I drag [lf_sex_partner.GetFirstName] to my bedroom at the end of the day, caring little for the looks of handmaidens. Once we are alone, we jump at each other, breathing shallow as we kiss each other in frenzy. In the cold night air, licking my already erect nipples my lover asks me to sit upon her glistening meatpole, facing her in a most lewd fashion.\n  Intrigued, I gently lower myself upon her cock, smiling at her lustful looks. I tease her shaft by barely kissing the tip with my sloppy, wet opening, until she just can’t take anymore. [lf_sex_partner.GetFirstName] grabs my slender waist and pulls me closer, driving her cock in my juice covered cavern in one swift go. I moan loudly – something I am quite sure my handmaidens hear from outside the closed doors.\n  Looking in my lover’s eyes, I start jumping upon her flagpole, groping at her ample tits. She licks her lips, as she pushes into me furtively from down below, calling my name in the sluttiest manner possible. We move in tandem, hands busily caressing each other’s breasts until I feel her cock twitch in impending climax. My own pussy feels close to an earth-shattering orgasm.;;;;;;;;;;;;;x
# Cowgirl written by Jim Raynor on LL, modified for a male partner
LFSexytimesFemale9MaleCowJim;Through the whole day today, [lf_sex_partner.GetFirstName] had been giving me lustful looks. He knows I love it, and he has kept touching me at opportune moments which would be utterly scandalous if exposed. A quick grab of my breast here, a quiet pinch on my plump ass there. He even pressed her engorged cock between my ass in the throne room!\n  Finally, I drag [lf_sex_partner.GetFirstName] to my bedroom at the end of the day, caring little for the looks of handmaidens. Once we are alone, we jump at each other, breathing shallow as we kiss each other in frenzy. In the cold night air, licking my already erect nipples my lover asks me to sit upon his glistening meatpole, facing him in a most lewd fashion.\n  Intrigued, I gently lower myself upon his cock, smiling at his lustful looks. I tease his shaft by barely kissing the tip with my sloppy, wet opening, until he just can’t take anymore. [lf_sex_partner.GetFirstName] grabs my slender waist and pulls me closer, driving his cock in my juice covered cavern in one swift go. I moan loudly – something I am quite sure my handmaidens hear from outside the closed doors.\n  Looking in my lover’s eyes, I start jumping upon his flagpole, groping at my own ample tits. He licks her lips, as he pushes into me furtively from down below, calling my name in the sluttiest manner possible. We move in tandem, hands busily caressing each other’s bodies until I feel his cock twitch in impending climax. My own pussy feels close to an earth-shattering orgasm.;;;;;;;;;;;;;x
#
# Cowgirl written by R0nin78 on LL
LFSexytimesFemale9MaleCowR0nin;Having shed our clothing and made our way to the bed, [lf_sex_partner.GetFirstName] kisses me, our tongues dancing passionately together as our mutual excitement builds. I can feel his erection, hot and hard as it presses against my stomach. I know what he wants, but I flash him a sultry smile as my hands glide over his bare chest, easing him onto his back. Our eyes meet as I straddle him, trapping his rigid length between his abdomen and my sodden folds. I slowly roll my hips, grinding my dripping slit along his hard cock as his hands rise to cup my breasts and once I'm ready, I reach down, gripping the base of his cock and impaling myself upon it. I ride him slowly at first, unable to keep from moaning as the pleasure builds.\n  I start riding him faster, leaning over him and thrusting my chest forward. [lf_sex_partner.GetFirstName] knows exactly what I want and a shiver of pleasure courses through me as he takes a nipple in his mouth, kneading both breasts with his hands. It isn't long before I get carried away my inner walls gripping his rigid length like a vice as I take my pleasure. I can feel him throbbing inside me, but I'm enjoying this too much. "Please, don't cum yet..." I plead with him, my eyes never leaving his own as I sit up and start to ride him even faster. The sounds of our lovemaking threaten to wake the entire castle, his moans joining my own and growing louder with every passing moment.;;;;;;;;;;;;;x
#
#
LFSexytimes9TTA;"Thank you, my love.";;;;;;;;;;;;;x
LFSexytimes9TTB;"Don't cum in me, [lf_sex_partner.GetFirstName]!";;;;;;;;;;;;;x
LFSexytimes9TTC;"Please cum in me, [lf_sex_partner.GetFirstName]!";;;;;;;;;;;;;x
LFSexytimes9TTCustom;[lf_sex_partner.GetFirstName] will decide if [lf_sex_partner.GetSheHe] will cum in you or not.;;;;;;;;;;;;;x
#
# Female Standard, Partner cums in you. Refused = You asked to pull out. Complied = You asked to be filled. 
#
#
# Hedonist Doggy Style written by Jim Raynor on LL
LFSexytimesFemale10FutaRefusedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With her thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm. I yearn for her seed to fill my aching womb, and I call out to her, begging her to do so. She laughs, even as she is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “I don’t think so, your sluttines,” [lf_sex_partner.GetFirstName] smirks, “you won’t be getting your creampie today!”\n  With eager thrusts she leads on, driving me hotter and crazier as she pounds my hungry snatch mercilessly. I moan and grovel at her to breed me, but I already know my lover only finds pleasure in my cries. My pussy tightens around her shaft in vain, as she pulls out at the last moment, her precious cum showering upon my bare back. She smiles and gets up to leave with a final slap upon my ass.;;;;;;;;;;;;;x
LFSexytimesFemale10MaleRefusedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With his thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm. I yearn for his seed to fill my aching womb, and I call out to him, begging him to do so. He laughs, even as he is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “Some queen you are, begging me to breed you!”\n  He teases, raining kisses upon my back. As his speed reaches peak, he shows no sign of pulling out. As I take in his assault in a merry haze, I feel him bursting within me, and a warmth spreading in my deepest parts. He comes in waves, one after another, as his cum starts to leak from my pussy. With a final grunt [lf_sex_partner.GetFirstName] falls on top of me, crushing my breasts in a savage grip.\n  “I will breed you as many times as you want, my lady.” He says, planting a kiss on my cheek.;;;;;;;;;;;;;x
LFSexytimesFemale10FutaRefusedCowgirlJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] squeals as I slide two of my fingers into her so far neglected cunt, whispering sweetly about how she would love to fill me up to the brim.\n  “That’s right,” I giggle, “Fill me up! Time to give another heir to the throne!”\n  My lover whimpers as I increase my tempo. My luscious thighs jump faster and faster upon hers, grinding my soft bottom into her pelvic. We entwine our hands into each other as our movement reaches to a frantic pace, our cries of passion echoing in the night.\n  As our final moments usher close, we lose ourselves to the haze of lust, two bodies jumping at each other mindlessly. As I feel my pussy contract in a nerve-wracking orgasm, my lover’s cock slips out of my clumsy snatch. Even as I am wrapped in my climax, I realize that I am covered in [lf_sex_partner.GetFirstName]’s cockmilk, her precious seed all over my body except where I wanted it to be.\n  As we settle down and stare at the mess we have made, my lover smiles and kisses me.\n  “Ah well. It’s not like this is the last time I get to knock you up, is it, your highness?”;;;;;;;;;;;;;x
LFSexytimesFemale10MaleRefusedCowgirlJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] whispers sweetly about how he would love to fill me up to the brim.\n  “That’s right,” I giggle, “Fill me up! Time to give another heir to the throne!”\n  My lover whimpers as I increase my tempo. My luscious thighs jump faster and faster upon his, grinding my soft bottom into his pelvic. We entwine our hands into each other as our movement reaches to a frantic pace, our cries of passion echoing in the night.\n  As our final moments usher close, we lose ourselves to the haze of lust, two bodies jumping at each other mindlessly. As I feel my pussy contract in a nerve-wracking orgasm, my lover’s cock slips out of my clumsy snatch. Even as I am wrapped in my climax, I realize that I am covered in [lf_sex_partner.GetFirstName]’s cockmilk, his precious seed all over my body except where I wanted it to be.\n  As we settle down and stare at the mess we have made, my lover smiles and kisses me.\n  “Ah well. It’s not like this is the last time I get to knock you up, is it, your highness?”;;;;;;;;;;;;;x
LFSexytimesFemale10FutaCompliedCowgirlJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] squeals as I slide two of my fingers into her so far neglected cunt, whispering sweetly about how she would love to fill me up to the brim.\n  “That’s right,” I giggle, “Fill me up! Time to give another heir to the throne!”\n  My lover whimpers as I increase my tempo. My luscious thighs jump faster and faster upon hers, grinding my soft bottom into her pelvic. We entwine our hands into each other as our movement reaches to a frantic pace, our cries of passion echoing in the night.\n  Looking deep in my eyes [lf_sex_partner.GetFirstName] cries my name as she lets out thick streams of cockmilk in my waiting slit, coating my womb in her delicious spunk. I feel my pussy contract in a nerve-wracking orgasm, but I continue humping my lover even as she keeps cumming. Her eyes role to reveal whites in sheer ecstasy, while we both keep writhing in throes of passion.\n  When we both regain our senses, I am aware of the cum leaking out of my pussy, on to my lover’s stomach.\n  “There, we are surely pregnant now…” She whispers and taps my womb, now warm with her cum.;;;;;;;;;;;;;x
LFSexytimesFemale10MaleCompliedCowgirlJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] whispers sweetly about how she would love to fill me up to the brim.\n  “That’s right,” I giggle, “Fill me up! Time to give another heir to the throne!”\n  My lover whimpers as I increase my tempo. My luscious thighs jump faster and faster upon his, grinding my soft bottom into his pelvic. We entwine our hands into each other as our movement reaches to a frantic pace, our cries of passion echoing in the night.\n  Looking deep in my eyes [lf_sex_partner.GetFirstName] cries my name as he lets out thick streams of cockmilk in my waiting slit, coating my womb in his delicious spunk. I feel my pussy contract in a nerve-wracking orgasm, but I continue humping my lover even as he keeps cumming. His eyes role to reveal whites in sheer ecstasy, while we both keep writhing in throes of passion.\n  When we both regain our senses, I am aware of the cum leaking out of my pussy, on to my lover’s stomach.\n  “There, we are surely pregnant now…” he whispers and taps my womb, now warm with his cum.;;;;;;;;;;;;;x
LFSexytimesFemale10FutaCompliedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With her thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm. I yearn for her seed to fill my aching womb, and I call out to her, begging her to do so. She laughs, even as she is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “Some queen you are, begging me to breed you!”\n She teases, raining kisses upon my back. As her speed reaches peak, she shows no sign of pulling out. As I take in her assault in a merry haze, I feel her bursting within me, and a warmth spreading in my deepest parts. She comes in waves, one after another, as her cum starts to leak from my pussy. With a final grunt [lf_sex_partner.GetFirstName] falls on top of me, crushing her breasts on my sweaty back.\n  “I will breed you as many times as you want, my lady.” She says, planting a kiss on my cheek.;;;;;;;;;;;;;x
LFSexytimesFemale10MaleCompliedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With his thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm. I yearn for his seed to fill my aching womb, and I call out to him, begging him to do so. He laughs, even as he is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “I don’t think so, your sluttines,” [lf_sex_partner.GetFirstName] smirks, “you won’t be getting your creampie today!”\n  With eager thrusts he leads on, driving me hotter and crazier as he pounds my hungry snatch mercilessly. I moan and grovel at him to breed me, but I already know my lover only finds pleasure in my cries. My pussy tightens around his shaft in vain, as he pulls out at the last moment, his precious cum showering upon my bare back. He smiles and gets up to leave with a final slap upon my ass.;;;;;;;;;;;;;x
#
# Doggy Style written by R0nin78 on LL
LFSexytimesFemale10MaleCompliedDoggyR0nin;He's still fucking me long after our bodies glisten in sweat, his cock sending me to new heights of pleasure with every passing moment until our bodies are practically crying out for release. "I'm going to cum!" He warns me, just as I feel his rigid length throb against the vice-like grip of my inner walls. The sensation sends me over the edge and my entire frame begins to shudder as my own orgasm washes over me like a tidal wave. "Give it to me!" I tell him. "Cum for your [lf_sex_player.GetTitle]!" I moan, looking over my shoulder and meeting his eyes. A growl of pleasure passes his lips as his cock begins to spasm, flooding my womb with spurt after spurt of his seed. The sensation only serves to further arouse me and it isn't long before I reach a second climax. We collapse together, his lips trailing tender kisses along my neck as he holds me close.;;;;;;;;;;;;;x
LFSexytimesFemale10MaleRefusedDoggyR0nin;He's still fucking me long after our bodies glisten in sweat, his cock sending me to new heights of pleasure with every passing moment until our bodies are practically crying out for release. "I'm going to cum!" He warns me, just as I feel his rigid length throb against the vice-like grip of my inner walls. The sensation sends me over the edge and my entire frame begins to shudder as my own orgasm washes over me like a tidal wave. "Give it to me!" I tell him. "Cum all over your [lf_sex_player.GetTitle]!" I moan, looking over my shoulder just in time to realize I'm too late. A growl of pleasure passes his lips as his cock begins to spasm, flooding my womb with spurt after spurt of his seed. I know I should be furious, but the sensation only serves to further arouse me and it isn't long before I reach a second climax. We collapse together, his lips trailing tender kisses along my neck as he holds me close.;;;;;;;;;;;;;x
#
# Cowgirl written by R0nin78 on LL
